product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/bauchhaar-running-shoes-women/p/itm0e2258d058970?pid=SHOHEFY4TBRQYQFH&lid=LSTSHOHEFY4TBRQYQFHFSOHHS&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_2Mudqxzx0SshzOjC_zdL5kuN4HyQwyXhLR7SqEhcXoVtOZ2MyEoIlVJzB9v-bEa61yq8XUpVvMveDG7yMz6ngg%3D%3D&ppt=sp&ppn=sp&ssid=lisssrk8ao0000001759329901805&qH=32e27b1148959538,Running Shoes For Women,BAUCHHAAR ,408,0.59,,
https://www.flipkart.com/campus-raye-pillofoam-cushioning-impact-protection-running-gym-casual-wear-running-shoes-women/p/itme7a7578a5677a?pid=SHOHF5MUW4GXQHCG&lid=LSTSHOHF5MUW4GXQHCG3QRDYG&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_2Mudqxzx0SshzOjC_zdL5kuN4HyQwyXhLR7SqEhcXoVC01EqVcx2DJpwQu31XmujJXpypjrggYfDM-p6ye5z-w%3D%3D&ppt=sp&ppn=sp&ssid=lisssrk8ao0000001759329901805&qH=32e27b1148959538,"RAYE Pillofoam Cushioning & Impact Protection | For Running, Gym & Casual Wear Running Shoes For Women",CAMPUS ,999,0.5,,
https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itmd0ec9eeec50f1?pid=SHOHF678C9YXGKWZ&lid=LSTSHOHF678C9YXGKWZVBWBWO&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=d042c592-b5a5-40e8-9b61-83052dc8a7b7.SHOHF678C9YXGKWZ.SEARCH&ppt=sp&ppn=sp&ssid=lisssrk8ao0000001759329901805&qH=32e27b1148959538,Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women,RED TAPE ,1097,0.82,,
https://www.flipkart.com/campus-annie-women-s-casual-shoes-sock-like-fit-integrated-foamlite-tech-slip-walking-women/p/itmc0b0d71bdca42?pid=SHOGARZCFGEHHYSZ&lid=LSTSHOGARZCFGEHHYSZYZFGJT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=d042c592-b5a5-40e8-9b61-83052dc8a7b7.SHOGARZCFGEHHYSZ.SEARCH&ppt=sp&ppn=sp&ssid=lisssrk8ao0000001759329901805&qH=32e27b1148959538,ANNIE Women's Casual Shoes | Sock-Like Fit | Integrated FoamLite Tech | Slip On Walking Shoes For Women,CAMPUS ,932,0.33,,
https://www.flipkart.com/fastnslow-sneaker-women-walking-shoes/p/itme157e61fe87c7?pid=SHOH75DYJYYHTWXD&lid=LSTSHOH75DYJYYHTWXDW2MTLN&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=en_2Mudqxzx0SshzOjC_zdL5kuN4HyQwyXhLR7SqEhcXoUhDtriSq0D-7VNTYXPswmcehrUEnP4R1EVIrUWNhnfeg%3D%3D&ppt=sp&ppn=sp&ssid=lisssrk8ao0000001759329901805&qH=32e27b1148959538,Sneaker for women Walking Shoes For Women,Fastnslow ,473,0.81,,
https://www.flipkart.com/birde-women-sports-shoes-running-sneakers/p/itmbcd2c442d93eb?pid=SHOH7ZBKFKJJTXF5&lid=LSTSHOH7ZBKFKJJTXF53SXR7W&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=en_2Mudqxzx0SshzOjC_zdL5kuN4HyQwyXhLR7SqEhcXoVcrMXaH0Z_3ysbl44H3p_SaQbw-O28W5vvVWX97lBcAA%3D%3D&ppt=sp&ppn=sp&ssid=lisssrk8ao0000001759329901805&qH=32e27b1148959538,Women Sports Shoes for Running Sneakers For Women,Birde ,449,0.7,,
https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itm84aa77addec4a?pid=SHOHF63868QQCVZF&lid=LSTSHOHF63868QQCVZFBFEY3I&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=d042c592-b5a5-40e8-9b61-83052dc8a7b7.SHOHF63868QQCVZF.SEARCH&ppt=sp&ppn=sp&ssid=lisssrk8ao0000001759329901805&qH=32e27b1148959538,Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women,RED TAPE ,1219,0.8,,
https://www.flipkart.com/campus-claire-women-s-sports-shoes-memory-foam-insole-cushioned-comfort-lace-up-running-women/p/itm371f372ffbb69?pid=SHOFW6Z7M28RTZ7S&lid=LSTSHOFW6Z7M28RTZ7SRWUXAT&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=d042c592-b5a5-40e8-9b61-83052dc8a7b7.SHOFW6Z7M28RTZ7S.SEARCH&ppt=sp&ppn=sp&ssid=lisssrk8ao0000001759329901805&qH=32e27b1148959538,CLAIRE Women's Sports Shoes | Memory Foam Insole for Cushioned Comfort | Lace-Up Running Shoes For Women,CAMPUS ,960,0.31,,
https://www.flipkart.com/hrx-hrithik-roshan-060-01-running-shoes-women/p/itmb66db84283a02?pid=SHOGRHXNYK49YXGH&lid=LSTSHOGRHXNYK49YXGHBQRNH8&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=d042c592-b5a5-40e8-9b61-83052dc8a7b7.SHOGRHXNYK49YXGH.SEARCH&ppt=sp&ppn=sp&ssid=lisssrk8ao0000001759329901805&qH=32e27b1148959538,-060 01 Running Shoes For Women,HRX by Hrithik Roshan ,999,0.66,,
https://www.flipkart.com/fabbmate-casual-sports-sneakers-women/p/itma5fcb289f70ae?pid=SHOHF5MMFG9F4FQR&lid=LSTSHOHF5MMFG9F4FQR7MVSO7&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=d042c592-b5a5-40e8-9b61-83052dc8a7b7.SHOHF5MMFG9F4FQR.SEARCH&ppt=sp&ppn=sp&ssid=lisssrk8ao0000001759329901805&qH=32e27b1148959538,Fabbmate Casual Sports Sneakers For Women,Fabbmate ,418,0.58,,
